,__v,_id,activityHotness,coin,createdAt,favoriteCount,hashtags,hotness,id,isRetweeted,language,links,mentions,publishedAt,retweetCount,symbols,text,twitteratiScore,updatedAt,url,username
36,0,5f57bcbf892dbe0017b02f7b,3.449987545831587,59d21e9b83a0523906a45dc5,2020-09-08T17:17:52.088Z,0,[],74054.29702458286,1303378802467315712,True,en,[],[VoiceHQ],2020-09-08T17:04:56.000Z,7,[],RT @VoiceHQ: We're building social as it should be. https://t.co/bNsBWXXhVO,0,2020-09-08T17:17:52.088Z,https://cryptocontrol.io/r/api/tweet/5f57bcbf892dbe0017b02f7b?ref=5f963694c3be7e001761fc25,block_one_
37,0,5f562e7c81b4df00172ab520,3.883623530906448,59d21e9b83a0523906a45dc5,2020-09-07T12:58:36.688Z,19,[EOSIO],74050.01487353092,1302951567130230785,False,en,[https://eos.io/#newsletter-signup],[],2020-09-07T12:47:15.000Z,7,[],We’re about to issue our next #EOSIO Developer Newsletter. Sign up and check the tick boxes. https://t.co/lHiiP7pYOQ,0,2020-09-07T12:58:36.688Z,https://cryptocontrol.io/r/api/tweet/5f562e7c81b4df00172ab520?ref=5f963694c3be7e001761fc25,block_one_
38,0,5f52e697ec7b82001772c608,3.449987545831587,59d21e9b83a0523906a45dc5,2020-09-05T01:15:03.276Z,0,"[EOSIO, DeFi]",74039.57540421249,1302045068417576960,True,en,[],"[EOS_Nation, block_one_]",2020-09-05T00:45:09.000Z,7,[],"RT @EOS_Nation: Attention all current and future #EOSIO #DeFi developers!

The Head of Developer Relations at @block_one_ wants to hear fro…",0,2020-09-05T01:15:03.276Z,https://cryptocontrol.io/r/api/tweet/5f52e697ec7b82001772c608?ref=5f963694c3be7e001761fc25,block_one_
39,0,5f513789c91c260017a7f251,3.9019726695746444,59d21e9b83a0523906a45dc5,2020-09-03T18:35:54.191Z,20,[EOS],74034.96896341031,1301586789153615874,False,en,[https://eos.io/eos-resource-model/?utm_source=twitter&utm_medium=social&utm_campaign=eosio_updates&utm_content=resourcemodel],[],2020-09-03T18:24:07.000Z,7,[],"We invite the #EOS community to test the proposed resource model, give feedback, and join the bounty program. (1/5) https://t.co/YyLMALRnAX",0,2020-09-03T18:35:54.191Z,https://cryptocontrol.io/r/api/tweet/5f513789c91c260017a7f251?ref=5f963694c3be7e001761fc25,block_one_
40,0,5f513789c91c260017a7f24d,2.379546134130174,59d21e9b83a0523906a45dc5,2020-09-03T18:35:54.190Z,2,[EOS],74033.4476016897,1301586886495006721,False,en,[http://eos.io/eos-resource-model/#feedback],[],2020-09-03T18:24:30.000Z,2,[],"#EOS block producers, help make the proposal successful by submitting your feedback here.
(2/5) https://t.co/YEozVdwxnh",0,2020-09-03T18:35:54.190Z,https://cryptocontrol.io/r/api/tweet/5f513789c91c260017a7f24d?ref=5f963694c3be7e001761fc25,block_one_
41,0,5f513789c91c260017a7f250,1.9740810260220096,59d21e9b83a0523906a45dc5,2020-09-03T18:35:54.190Z,3,[],74033.04621065565,1301587253433634816,False,en,[],[],2020-09-03T18:25:58.000Z,1,[],Thanks to community-operated testnets Jungle and Kylin for providing a testing environment. (5/5),0,2020-09-03T18:35:54.190Z,https://cryptocontrol.io/r/api/tweet/5f513789c91c260017a7f250?ref=5f963694c3be7e001761fc25,block_one_
42,0,5f513789c91c260017a7f24e,1.840549633397487,59d21e9b83a0523906a45dc5,2020-09-03T18:35:54.190Z,2,[],74032.91147555933,1301587147481387010,False,en,[https://eos.io/eos-resource-model],[],2020-09-03T18:25:32.000Z,1,[],Competitive bounties for the discovery of any critical issues are available for all developers. (4/5) https://t.co/8egrmnhy6c,0,2020-09-03T18:35:54.190Z,https://cryptocontrol.io/r/api/tweet/5f513789c91c260017a7f24e?ref=5f963694c3be7e001761fc25,block_one_
43,0,5f513789c91c260017a7f24f,1.840549633397487,59d21e9b83a0523906a45dc5,2020-09-03T18:35:54.190Z,2,[EOS],74032.90948481859,1301586964941021188,False,en,[http://eos.io/eos-resource-model/#feedback],[],2020-09-03T18:24:49.000Z,1,[],"If you’re an #EOS-based application developer, we want to hear from you. (3/5) https://t.co/YEozVdwxnh",0,2020-09-03T18:35:54.190Z,https://cryptocontrol.io/r/api/tweet/5f513789c91c260017a7f24f?ref=5f963694c3be7e001761fc25,block_one_
44,0,5f4fdb5c8b1a87001a4fa0d1,4.437934266612178,59d21e9b83a0523906a45dc5,2020-09-02T17:50:20.663Z,24,[EOSIO],74031.16844352586,1301193915849211911,False,en,[https://twitter.com/i/web/status/1301193915849211911],[],2020-09-02T16:22:59.000Z,14,[],Find out how Klevoya’s tools help #EOSIO developers test and verify the functionality of their smart contract witho… https://t.co/FJPGNZIGxu,0,2020-09-02T17:50:20.663Z,https://cryptocontrol.io/r/api/tweet/5f4fdb5c8b1a87001a4fa0d1?ref=5f963694c3be7e001761fc25,block_one_
45,0,5f505aaf2f79900017c91916,1.9740810260220096,59d21e9b83a0523906a45dc5,2020-09-03T02:53:37.065Z,3,[],74030.45459028528,1301352463455272960,False,en,[],[LiquidAppsIO],2020-09-03T02:52:59.000Z,1,[],"@LiquidAppsIO Great to see this. When blockchain wins, we all win.",0,2020-09-03T02:53:37.065Z,https://cryptocontrol.io/r/api/tweet/5f505aaf2f79900017c91916?ref=5f963694c3be7e001761fc25,block_one_
46,0,5f4f7ef419e794001c37b0d9,3.261935314328648,59d21e9b83a0523906a45dc5,2020-09-02T11:16:04.688Z,14,[blockchain],74029.10883346247,1301113864159817734,False,en,[https://twitter.com/FashNerd/status/1300730905804378114],[],2020-09-02T11:04:53.000Z,3,[],Sneakers combined with AR and #blockchain? Take a look at this investment from Galaxy EOS VC Fund. https://t.co/YeRFsFhUAk,0,2020-09-02T11:16:04.688Z,https://cryptocontrol.io/r/api/tweet/5f4f7ef419e794001c37b0d9?ref=5f963694c3be7e001761fc25,block_one_
47,0,5f4d714c5e8a8f00194d8aa3,3.1135153092103742,59d21e9b83a0523906a45dc5,2020-08-31T21:53:17.282Z,10,"[blockchain, DeFi]",74022.74462642032,1300550731129389062,False,en,[https://twitter.com/i/web/status/1300550731129389062],"[IvanOnTech, bytemaster7]",2020-08-31T21:47:12.000Z,3,[],"Watch @IvanOnTech's interview with @bytemaster7 on #blockchain interoperability, #DeFi on the EOS Public Blockchain… https://t.co/xblw4TaHIX",0,2020-08-31T21:53:17.282Z,https://cryptocontrol.io/r/api/tweet/5f4d714c5e8a8f00194d8aa3?ref=5f963694c3be7e001761fc25,block_one_
48,0,5f4be3de67ca900019c1368f,4.871373226762748,59d21e9b83a0523906a45dc5,2020-08-30T17:37:34.380Z,70,[],74009.84299359714,1299222628096376834,False,en,[https://twitter.com/mike_maloney/status/1299022013617647616],[],2020-08-28T05:49:47.000Z,15,[],Here’s one you don’t want to miss. https://t.co/0CdfSSq0X1,0,2020-08-30T17:37:34.380Z,https://cryptocontrol.io/r/api/tweet/5f4be3de67ca900019c1368f?ref=5f963694c3be7e001761fc25,block_one_
49,0,5f4be3de67ca900019c13691,4.143134726391533,59d21e9b83a0523906a45dc5,2020-08-30T17:37:34.380Z,0,[blockchain],74005.68869028194,1298912237680091136,True,en,[],"[DigitalChamber, block_one_]",2020-08-27T09:16:24.000Z,14,[],"RT @DigitalChamber: Member Blog: ""The Promise of Blockchain Interoperability"" - @block_one_ describes its thoughts on #blockchain interoper…",0,2020-08-30T17:37:34.380Z,https://cryptocontrol.io/r/api/tweet/5f4be3de67ca900019c13691?ref=5f963694c3be7e001761fc25,block_one_
